inter,X,cnt,registered,casual,windspeed,hum,atemp,temp
1,1,985,654,331,0.160446,0.805833,0.363625,0.344167
1,2,801,670,131,0.248539,0.696087,0.353739,0.363478
1,3,1349,1229,120,0.248309,0.437273,0.189405,0.196364
1,4,1562,1454,108,0.160296,0.590435,0.212122,0.2
1,5,1600,1518,82,0.1869,0.436957,0.22927,0.226957
1,6,1606,1518,88,0.0895652,0.518261,0.233209,0.204348
1,7,1510,1362,148,0.168726,0.498696,0.208839,0.196522
1,8,959,891,68,0.266804,0.535833,0.162254,0.165
1,9,822,768,54,0.36195,0.434167,0.116175,0.138333
1,10,1321,1280,41,0.223267,0.482917,0.150888,0.150833
1,11,1263,1220,43,0.122132,0.686364,0.191464,0.169091
1,12,1162,1137,25,0.304627,0.599545,0.160473,0.172727
1,13,1406,1368,38,0.301,0.470417,0.150883,0.165
1,14,1421,1367,54,0.126548,0.537826,0.188413,0.16087
1,15,1248,1026,222,0.157963,0.49875,0.248112,0.233333
1,16,1204,953,251,0.188433,0.48375,0.234217,0.231667
1,17,1000,883,117,0.194017,0.5375,0.176771,0.175833
1,18,683,674,9,0.146775,0.861667,0.232333,0.216667
1,19,1650,1572,78,0.208317,0.741739,0.298422,0.292174
1,20,1927,1844,83,0.195904,0.538333,0.25505,0.261667
1,21,1543,1468,75,0.353242,0.457083,0.157833,0.1775
1,22,981,888,93,0.17197,0.4,0.0790696,0.0591304
1,23,986,836,150,0.2466,0.436522,0.0988391,0.0965217
1,24,1416,1330,86,0.15833,0.491739,0.11793,0.0973913
1,25,1985,1799,186,0.129796,0.616957,0.234526,0.223478
1,26,506,472,34,0.29385,0.8625,0.2036,0.2175
1,27,431,416,15,0.113837,0.6875,0.2197,0.195
1,28,1167,1129,38,0.1233,0.793043,0.223317,0.203478
1,29,1098,975,123,0.145365,0.651739,0.212126,0.196522
1,30,1096,956,140,0.0739826,0.722174,0.250322,0.216522
1,31,1501,1459,42,0.187192,0.60375,0.18625,0.180833
1,32,1360,1313,47,0.053213,0.829565,0.23453,0.192174
1,33,1526,1454,72,0.264308,0.775417,0.254417,0.26
1,34,1550,1489,61,0.277752,0.437826,0.177878,0.186957
1,35,1708,1620,88,0.127839,0.585217,0.228587,0.211304
1,36,1005,905,100,0.161079,0.929167,0.243058,0.233333
1,37,1623,1269,354,0.1418,0.568333,0.291671,0.285833
1,38,1712,1592,120,0.0454083,0.738333,0.303658,0.271667
1,39,1530,1466,64,0.36195,0.537917,0.198246,0.220833
1,40,1605,1552,53,0.188839,0.494783,0.144283,0.134783
1,41,1538,1491,47,0.221935,0.437391,0.149548,0.144348
1,42,1746,1597,149,0.10855,0.506364,0.213509,0.189091
1,43,1472,1184,288,0.203367,0.544167,0.232954,0.2225
1,44,1589,1192,397,0.260883,0.457391,0.324113,0.316522
1,45,1913,1705,208,0.417908,0.375833,0.39835,0.415
1,46,1815,1675,140,0.291374,0.314348,0.254274,0.266087
1,47,2115,1897,218,0.251791,0.423478,0.3162,0.318261
1,48,2475,2216,259,0.230104,0.505,0.428658,0.435833
1,49,2927,2348,579,0.264925,0.516667,0.511983,0.521667
1,50,1635,1103,532,0.507463,0.187917,0.391404,0.399167
1,51,1812,1173,639,0.223235,0.407826,0.27733,0.285217
1,52,1107,912,195,0.307846,0.605,0.284075,0.303333
1,53,1450,1376,74,0.195683,0.577778,0.186033,0.182222
1,54,1917,1778,139,0.094113,0.423043,0.245717,0.221739
1,55,1807,1707,100,0.250496,0.697391,0.289191,0.295652
1,56,1461,1341,120,0.346539,0.712174,0.350461,0.364348
1,57,1969,1545,424,0.186571,0.537917,0.282192,0.2825
1,58,2402,1708,694,0.125248,0.68,0.351109,0.343478
1,59,1446,1365,81,0.289686,0.876364,0.400118,0.407273
1,60,1851,1714,137,0.216425,0.535,0.263879,0.266667
1,61,2134,1903,231,0.307833,0.449583,0.320071,0.335
1,62,1685,1562,123,0.225754,0.318333,0.200133,0.198333
1,63,1944,1730,214,0.203346,0.610417,0.255679,0.261667
1,64,2077,1437,640,0.251871,0.789167,0.378779,0.384167
1,65,605,491,114,0.343287,0.948261,0.366252,0.376522
1,66,1872,1628,244,0.341352,0.551304,0.238461,0.261739
1,67,2133,1817,316,0.12065,0.420833,0.3024,0.2925
1,68,1891,1700,191,0.22015,0.775417,0.286608,0.295833
1,69,623,577,46,0.261877,0,0.385668,0.389091
1,70,1977,1730,247,0.23297,0.649565,0.305,0.316522
1,71,2132,1408,724,0.220775,0.594583,0.32575,0.329167
1,72,2417,1435,982,0.270604,0.527391,0.380091,0.384348
1,73,2046,1687,359,0.136926,0.496957,0.332,0.325217
1,74,2056,1767,289,0.184309,0.655652,0.318178,0.317391
1,75,2192,1871,321,0.203117,0.776522,0.36693,0.365217
1,76,2744,2320,424,0.209579,0.602917,0.410333,0.415
1,77,3239,2355,884,0.231017,0.525217,0.527009,0.54
1,78,3117,1693,1424,0.368167,0.379167,0.466525,0.4725
1,79,2471,1424,1047,0.207721,0.47375,0.32575,0.3325
1,80,2077,1676,401,0.288783,0.737391,0.409735,0.430435
1,81,2703,2243,460,0.22575,0.624583,0.440642,0.441667
1,82,2121,1918,203,0.234261,0.839565,0.337939,0.346957
1,83,1865,1699,166,0.243787,0.805833,0.270833,0.285
1,84,2210,1910,300,0.230725,0.495,0.256312,0.264167
1,85,2496,1515,981,0.209571,0.394167,0.257571,0.265833
1,86,1693,1221,472,0.1843,0.493913,0.250339,0.253043
1,87,2028,1806,222,0.212204,0.302174,0.257574,0.264348
1,88,2425,2108,317,0.226996,0.314167,0.292908,0.3025
1,89,1536,1368,168,0.172888,0.646667,0.29735,0.3
1,90,1685,1506,179,0.217646,0.918333,0.257575,0.268333
1,91,2227,1920,307,0.258708,0.68625,0.283454,0.3
1,92,2252,1354,898,0.197146,0.65375,0.315637,0.315
1,93,3249,1598,1651,0.182213,0.48,0.378767,0.378333
1,94,3115,2381,734,0.385571,0.42625,0.542929,0.573333
1,95,1795,1628,167,0.388067,0.642083,0.39835,0.414167
1,96,2808,2395,413,0.263063,0.470833,0.387608,0.390833
1,97,3141,2570,571,0.162312,0.602917,0.433696,0.4375
1,98,1471,1299,172,0.226992,0.83625,0.324479,0.335833
1,99,2455,1576,879,0.133083,0.8775,0.341529,0.3425
1,100,2895,1707,1188,0.146767,0.8575,0.426737,0.426667
1,101,3348,2493,855,0.324474,0.716956,0.565217,0.595652
1,102,2034,1777,257,0.274879,0.739167,0.493054,0.5025
1,103,2162,1953,209,0.250617,0.819167,0.417283,0.4125
1,104,3267,2738,529,0.1107,0.540417,0.462742,0.4675
1,105,3126,2484,642,0.226375,0.67125,0.441913,0.446667
1,106,795,674,121,0.340808,0.888333,0.425492,0.430833
1,107,3744,2186,1558,0.303496,0.479583,0.445696,0.456667
1,108,3429,2760,669,0.163567,0.5425,0.503146,0.5125
1,109,3204,2795,409,0.157971,0.665833,0.489258,0.505833
1,110,3944,3331,613,0.241925,0.614167,0.564392,0.595
1,111,4189,3444,745,0.325258,0.407083,0.453892,0.459167
1,112,1683,1506,177,0.219521,0.729583,0.321954,0.336667
1,113,4036,2574,1462,0.230725,0.887917,0.450121,0.46
1,114,4191,2481,1710,0.192175,0.810833,0.551763,0.581667
1,115,4073,3300,773,0.185333,0.776667,0.5745,0.606667
1,116,4400,3722,678,0.3265,0.729167,0.594083,0.631667
1,117,3872,3325,547,0.3122,0.835417,0.575142,0.62
1,118,4058,3489,569,0.320908,0.700833,0.578929,0.6175
1,119,4595,3717,878,0.240063,0.457083,0.497463,0.51
1,120,5312,3347,1965,0.235075,0.503333,0.464021,0.4725
1,121,3351,2213,1138,0.106354,0.762083,0.448204,0.451667
1,122,4401,3554,847,0.183454,0.73,0.532833,0.549167
1,123,4451,3848,603,0.342667,0.697083,0.582079,0.616667
1,124,2633,2378,255,0.328996,0.737083,0.40465,0.414167
1,125,4433,3819,614,0.295392,0.444167,0.441917,0.459167
1,126,4608,3714,894,0.228246,0.59,0.474117,0.479167
1,127,4714,3102,1612,0.16045,0.54125,0.512621,0.52
1,128,4333,2932,1401,0.0746375,0.631667,0.518933,0.528333
1,129,4362,3698,664,0.176,0.58875,0.525246,0.5325
1,130,4803,4109,694,0.115671,0.489167,0.522721,0.5325
1,131,4182,3632,550,0.120642,0.632917,0.5284,0.5425
1,132,4864,4169,695,0.189667,0.7475,0.523363,0.535
1,133,4105,3413,692,0.179725,0.863333,0.4943,0.5125
1,134,3409,2507,902,0.13495,0.9225,0.500629,0.520833
1,135,4553,2971,1582,0.152979,0.867083,0.536,0.5625
1,136,3958,3185,773,0.126871,0.787917,0.550512,0.5775
1,137,4123,3445,678,0.277354,0.837917,0.538529,0.561667
1,138,3855,3319,536,0.201492,0.87,0.527158,0.55
1,139,4575,3840,735,0.108213,0.829583,0.510742,0.530833
1,140,4917,4008,909,0.125013,0.719583,0.529042,0.536667
1,141,5805,3547,2258,0.12065,0.626667,0.571975,0.6025
1,142,4660,3084,1576,0.148008,0.749583,0.5745,0.604167
1,143,4274,3438,836,0.233842,0.81,0.590296,0.631667
1,144,4492,3833,659,0.207092,0.740833,0.604813,0.66
1,145,4978,4238,740,0.154233,0.69625,0.615542,0.660833
1,146,4677,3919,758,0.199642,0.6775,0.654688,0.708333
1,147,4679,3808,871,0.240679,0.65375,0.637008,0.681667
1,148,4758,2757,2001,0.230092,0.729583,0.612379,0.655833
1,149,4788,2433,2355,0.213938,0.81875,0.61555,0.6675
1,150,4098,2549,1549,0.131225,0.685,0.671092,0.733333
1,151,3982,3309,673,0.111329,0.636667,0.725383,0.775
1,152,3974,3461,513,0.207092,0.677083,0.720967,0.764167
1,153,4968,4232,736,0.292287,0.305,0.643942,0.715
1,154,5312,4414,898,0.253121,0.354167,0.587133,0.62
1,155,5342,3473,1869,0.123142,0.45625,0.594696,0.635
1,156,4906,3221,1685,0.138692,0.6525,0.616804,0.648333
1,157,4548,3875,673,0.121896,0.6,0.621858,0.678333
1,158,4833,4070,763,0.187808,0.597917,0.65595,0.7075
1,159,4401,3725,676,0.136817,0.622083,0.727279,0.775833
1,160,3915,3352,563,0.149883,0.568333,0.757579,0.808333
1,161,4586,3771,815,0.140554,0.605,0.703292,0.755
1,162,4966,3237,1729,0.15485,0.654583,0.678038,0.725
1,163,4460,2993,1467,0.163567,0.747917,0.643325,0.6925
1,164,5020,4157,863,0.30535,0.494583,0.601654,0.635
1,165,4891,4164,727,0.269283,0.507083,0.591546,0.604167
1,166,5180,4411,769,0.167912,0.471667,0.587754,0.626667
1,167,3767,3222,545,0.206471,0.688333,0.595346,0.628333
1,168,4844,3981,863,0.143029,0.735833,0.600383,0.649167
1,169,5119,3312,1807,0.119408,0.670417,0.643954,0.696667
1,170,4744,3105,1639,0.102,0.666667,0.645846,0.699167
1,171,4010,3311,699,0.155475,0.74625,0.595346,0.635
1,172,4835,4061,774,0.171025,0.770417,0.637646,0.680833
1,173,4507,3846,661,0.172262,0.7075,0.693829,0.733333
1,174,4790,4044,746,0.238804,0.703333,0.693833,0.728333
1,175,4991,4022,969,0.222025,0.573333,0.656583,0.724167
1,176,5202,3420,1782,0.209571,0.483333,0.643313,0.695
1,177,5305,3385,1920,0.0945333,0.513333,0.637629,0.68
1,178,4708,3854,854,0.107588,0.658333,0.637004,0.6825
1,179,4648,3916,732,0.144283,0.634167,0.692558,0.744167
1,180,5225,4377,848,0.261821,0.497917,0.654688,0.728333
1,181,5515,4488,1027,0.185312,0.434167,0.637008,0.696667
1,182,5362,4116,1246,0.102608,0.39625,0.652162,0.7225
1,183,5119,2915,2204,0.115062,0.444583,0.667308,0.738333
1,184,4649,2367,2282,0.228858,0.6825,0.668575,0.716667
1,185,6043,2978,3065,0.0814792,0.637917,0.665417,0.726667
1,186,4665,3634,1031,0.126258,0.590417,0.696338,0.746667
1,187,4629,3845,784,0.149883,0.743333,0.685633,0.72
1,188,4592,3838,754,0.1592,0.65125,0.686871,0.75
1,189,4040,3348,692,0.225129,0.757917,0.670483,0.709167
1,190,5336,3348,1988,0.167912,0.609167,0.664158,0.733333
1,191,4881,3138,1743,0.183471,0.578333,0.690025,0.7475
1,192,4086,3363,723,0.282337,0.635833,0.729804,0.7625
1,193,4258,3596,662,0.200254,0.559167,0.739275,0.794167
1,194,4342,3594,748,0.146133,0.631667,0.689404,0.746667
1,195,5084,4196,888,0.240667,0.47625,0.635104,0.680833
1,196,5538,4220,1318,0.182833,0.59125,0.624371,0.663333
1,197,5923,3505,2418,0.208342,0.585,0.638263,0.686667
1,198,5302,3296,2006,0.245033,0.604167,0.669833,0.719167
1,199,4458,3617,841,0.215804,0.65125,0.703925,0.746667
1,200,4541,3789,752,0.1306,0.650417,0.747479,0.776667
1,201,4332,3688,644,0.113817,0.707083,0.74685,0.768333
1,202,3784,3152,632,0.222021,0.69125,0.826371,0.815
1,203,3387,2825,562,0.1331,0.580417,0.840896,0.848333
1,204,3285,2298,987,0.131221,0.5,0.804287,0.849167
1,205,3606,2556,1050,0.169171,0.550833,0.794829,0.83
1,206,3840,3272,568,0.0908083,0.757083,0.720958,0.743333
1,207,4590,3840,750,0.200258,0.540833,0.696979,0.771667
1,208,4656,3901,755,0.183463,0.402917,0.690667,0.775
1,209,4390,3784,606,0.178479,0.583333,0.7399,0.779167
1,210,3846,3176,670,0.174138,0.5425,0.785967,0.838333
1,211,4475,2916,1559,0.168537,0.465833,0.728537,0.804167
1,212,4302,2778,1524,0.164813,0.480833,0.729796,0.805833
1,213,4266,3537,729,0.156717,0.550833,0.703292,0.771667
1,214,4845,4044,801,0.20585,0.49125,0.707071,0.783333
1,215,3574,3107,467,0.135583,0.6575,0.679937,0.731667
1,216,4576,3777,799,0.19715,0.7575,0.664788,0.71
1,217,4866,3843,1023,0.184696,0.630833,0.656567,0.710833
1,218,4294,2773,1521,0.22825,0.755,0.676154,0.716667
1,219,3785,2487,1298,0.201487,0.752917,0.715292,0.7425
1,220,4326,3480,846,0.192175,0.592083,0.703283,0.765
1,221,4602,3695,907,0.151121,0.570417,0.724121,0.775
1,222,4780,3896,884,0.200258,0.424167,0.684983,0.766667
1,223,4792,3980,812,0.164796,0.42375,0.651521,0.7175
1,224,4905,3854,1051,0.125621,0.415,0.654042,0.708333
1,225,4150,2646,1504,0.211454,0.729583,0.645858,0.685833
1,226,3820,2482,1338,0.222633,0.8175,0.624388,0.676667
1,227,4338,3563,775,0.208954,0.712083,0.616167,0.665833
1,228,4725,4004,721,0.236329,0.578333,0.645837,0.700833
1,229,4694,4026,668,0.143667,0.575417,0.666671,0.723333
1,230,3805,3166,639,0.233208,0.654583,0.662258,0.711667
1,231,4153,3356,797,0.139308,0.722917,0.633221,0.685
1,232,5191,3277,1914,0.104467,0.674167,0.648996,0.6975
1,233,3873,2624,1249,0.248754,0.77,0.675525,0.710833
1,234,4758,3925,833,0.27675,0.47,0.638254,0.691667
1,235,5895,4614,1281,0.146763,0.455417,0.606067,0.640833
1,236,5130,4181,949,0.253108,0.605,0.630692,0.673333
1,237,3542,3107,435,0.210833,0.771667,0.645854,0.684167
1,238,4661,3893,768,0.0839625,0.76125,0.659733,0.7
1,239,1115,889,226,0.375617,0.85,0.635556,0.68
1,240,4334,2919,1415,0.304659,0.561765,0.647959,0.707059
1,241,4634,3905,729,0.159825,0.554583,0.607958,0.636667
1,242,5204,4429,775,0.125008,0.548333,0.594704,0.639167
1,243,5058,4370,688,0.0833333,0.597917,0.611121,0.656667
1,244,5115,4332,783,0.141796,0.639167,0.614921,0.655
1,245,4727,3852,875,0.139929,0.727083,0.604808,0.643333
1,246,4484,2549,1935,0.185325,0.716667,0.633213,0.669167
1,247,4940,2419,2521,0.206467,0.742083,0.665429,0.709167
1,248,3351,2115,1236,0.212696,0.790417,0.625646,0.673333
1,249,2710,2506,204,0.343943,0.886957,0.5152,0.54
1,250,1996,1878,118,0.0970208,0.917083,0.544229,0.599167
1,251,1842,1689,153,0.192748,0.939565,0.555361,0.633913
1,252,3544,3127,417,0.124379,0.897917,0.578946,0.65
1,253,5345,3595,1750,0.153608,0.75375,0.607962,0.66
1,254,5046,3413,1633,0.115054,0.71375,0.609229,0.653333
1,255,4713,4023,690,0.088913,0.692174,0.60213,0.644348
1,256,4763,4062,701,0.141804,0.7125,0.603554,0.650833
1,257,4785,4138,647,0.1673,0.697083,0.6269,0.673333
1,258,3659,3231,428,0.271146,0.709167,0.553671,0.5775
1,259,4760,4018,742,0.164183,0.590417,0.461475,0.469167
1,260,4511,3077,1434,0.189675,0.718333,0.478512,0.491667
1,261,4274,2921,1353,0.178483,0.695,0.490537,0.5075
1,262,4539,3848,691,0.151742,0.69,0.529675,0.549167
1,263,3641,3203,438,0.134954,0.88125,0.532217,0.561667
1,264,4352,3813,539,0.0964042,0.9,0.550533,0.595
1,265,4795,4240,555,0.128125,0.902083,0.554963,0.628333
1,266,2395,2137,258,0.0783667,0.9725,0.522125,0.609167
1,267,5423,3647,1776,0.0783833,0.8625,0.564412,0.606667
1,268,5010,3466,1544,0.0503792,0.845,0.572637,0.634167
1,269,4630,3946,684,0.1107,0.848333,0.589042,0.649167
1,270,4120,3643,477,0.118171,0.885417,0.574525,0.636667
1,271,3907,3427,480,0.148629,0.84875,0.575158,0.635
1,272,4839,4186,653,0.172883,0.699167,0.574512,0.616667
1,273,5202,4372,830,0.206475,0.6475,0.544829,0.564167
1,274,2429,1949,480,0.292296,0.75375,0.412863,0.41
1,275,2918,2302,616,0.222013,0.791667,0.345317,0.356667
1,276,3570,3240,330,0.0833458,0.760833,0.392046,0.384167
1,277,4456,3970,486,0.205854,0.71,0.472858,0.484167
1,278,4826,4267,559,0.17725,0.647917,0.527138,0.538333
1,279,4765,4126,639,0.134954,0.620833,0.480425,0.494167
1,280,4985,4036,949,0.0223917,0.684167,0.504404,0.510833
1,281,5409,3174,2235,0.0454042,0.70125,0.513242,0.521667
1,282,5511,3114,2397,0.06345,0.7275,0.523983,0.540833
1,283,5117,3603,1514,0.0423042,0.73375,0.542925,0.570833
1,284,4563,3896,667,0.143042,0.80875,0.546096,0.566667
1,285,2416,2199,217,0.24815,0.90625,0.517717,0.543333
1,286,2913,2623,290,0.141787,0.896667,0.551804,0.589167
1,287,3644,3115,529,0.223883,0.71625,0.529675,0.550833
1,288,5217,3318,1899,0.258083,0.483333,0.498725,0.506667
1,289,5041,3293,1748,0.281717,0.486667,0.503154,0.511667
1,290,4570,3857,713,0.175379,0.579583,0.510725,0.534167
1,291,4748,4111,637,0.110087,0.701667,0.522721,0.5325
1,292,2424,2170,254,0.243339,0.895217,0.513848,0.541739
1,293,4195,3724,471,0.422275,0.63625,0.466525,0.475833
1,294,4304,3628,676,0.221396,0.574167,0.423596,0.4275
1,295,4308,2809,1499,0.0926667,0.629167,0.425492,0.4225
1,296,4381,2762,1619,0.0995125,0.74125,0.422333,0.421667
1,297,4187,3488,699,0.118792,0.772083,0.457067,0.463333
1,298,4687,3992,695,0.166658,0.622917,0.463375,0.471667
1,299,3894,3490,404,0.148642,0.720417,0.472846,0.484167
1,300,2659,2419,240,0.197763,0.812917,0.457046,0.47
1,301,3747,3291,456,0.229479,0.585833,0.318812,0.330833
1,302,627,570,57,0.351371,0.8825,0.227913,0.254167
1,303,3331,2446,885,0.176617,0.62375,0.321329,0.319167
1,304,3669,3307,362,0.10635,0.703333,0.356063,0.34
1,305,4068,3658,410,0.135571,0.68375,0.397088,0.400833
1,306,4186,3816,370,0.0820917,0.71875,0.390133,0.3775
1,307,3974,3656,318,0.136817,0.702083,0.405921,0.408333
1,308,4046,3576,470,0.271779,0.6225,0.403392,0.403333
1,309,3926,2770,1156,0.189062,0.519167,0.323854,0.326667
1,310,3649,2697,952,0.0920542,0.734583,0.362358,0.348333
1,311,4035,3662,373,0.057225,0.75875,0.400871,0.395
1,312,4205,3829,376,0.0690375,0.721667,0.412246,0.408333
1,313,4109,3804,305,0.0621958,0.758333,0.409079,0.4
1,314,2933,2743,190,0.189067,0.813333,0.373721,0.38
1,315,3368,2928,440,0.314675,0.44625,0.306817,0.324167
1,316,4067,2792,1275,0.212062,0.552917,0.357942,0.356667
1,317,3717,2713,1004,0.281721,0.458333,0.43055,0.440833
1,318,4486,3891,595,0.306596,0.587083,0.524612,0.53
1,319,4195,3746,449,0.199633,0.68875,0.507579,0.53
1,320,1817,1672,145,0.136829,0.93,0.451988,0.456667
1,321,3053,2914,139,0.305362,0.575833,0.323221,0.341667
1,322,3392,3147,245,0.168533,0.41,0.272721,0.274167
1,323,3663,2720,943,0.224496,0.502083,0.324483,0.329167
1,324,3520,2733,787,0.18595,0.684583,0.457058,0.463333
1,325,2765,2545,220,0.138054,0.91,0.445062,0.4475
1,326,1607,1538,69,0.118792,0.9625,0.421696,0.416667
1,327,2566,2454,112,0.335825,0.757917,0.430537,0.440833
1,328,1495,935,560,0.167304,0.549167,0.372471,0.373333
1,329,2792,1697,1095,0.0988958,0.64375,0.380671,0.375
1,330,3068,1819,1249,0.0684208,0.681667,0.385087,0.375833
1,331,3071,2261,810,0.208954,0.698333,0.4558,0.459167
1,332,3867,3614,253,0.142122,0.743043,0.490122,0.503478
1,333,2914,2818,96,0.258092,0.830833,0.451375,0.458333
1,334,3613,3425,188,0.271158,0.613333,0.311221,0.325
1,335,3727,3545,182,0.220158,0.524583,0.305554,0.3125
1,336,3940,3672,268,0.100754,0.625833,0.331433,0.314167
1,337,3614,2908,706,0.0957833,0.612917,0.310604,0.299167
1,338,3485,2851,634,0.0839583,0.775833,0.3491,0.330833
1,339,3811,3578,233,0.0622083,0.827083,0.393925,0.385833
1,340,2594,2468,126,0.232583,0.949583,0.4564,0.4625
1,341,705,655,50,0.266175,0.970417,0.400246,0.41
1,342,3322,3172,150,0.240058,0.58,0.256938,0.265833
1,343,3620,3359,261,0.0827167,0.695833,0.317542,0.290833
1,344,3190,2688,502,0.233221,0.5075,0.266412,0.275
1,345,2743,2366,377,0.0665417,0.49,0.253154,0.220833
1,346,3310,3167,143,0.06345,0.670833,0.270196,0.238333
1,347,3523,3368,155,0.14055,0.59,0.301138,0.2825
1,348,3740,3562,178,0.0609583,0.66375,0.338362,0.3175
1,349,3709,3528,181,0.268042,0.634167,0.412237,0.4225
1,350,3577,3399,178,0.260575,0.500417,0.359825,0.375
1,351,2739,2464,275,0.243167,0.560833,0.249371,0.258333
1,352,2431,2211,220,0.169779,0.58625,0.245579,0.238333
1,353,3403,3143,260,0.172896,0.6375,0.280933,0.276667
1,354,3750,3534,216,0.0615708,0.595417,0.396454,0.385833
1,355,2660,2553,107,0.2214,0.858333,0.428017,0.428333
1,356,3068,2841,227,0.047275,0.7575,0.426121,0.423333
1,357,2209,2046,163,0.274246,0.68625,0.377513,0.373333
1,358,1011,856,155,0.190304,0.5425,0.299242,0.3025
1,359,754,451,303,0.155091,0.681304,0.279961,0.274783
1,360,1317,887,430,0.239465,0.506957,0.315535,0.321739
1,361,1162,1059,103,0.18845,0.7625,0.327633,0.325
1,362,2302,2047,255,0.293961,0.503913,0.279974,0.29913
1,363,2423,2169,254,0.119412,0.574167,0.263892,0.248333
1,364,2999,2508,491,0.134337,0.636667,0.318812,0.311667
1,365,2485,1820,665,0.220154,0.615833,0.414121,0.41